datetime_utc,_conds,dewptm,fog,hail,heatindexm,hum,precipm,pressurem,rain,snow,tempm,thunder,tornado,vism,wdird,wdire,wgustm,windchillm,wspdm
2024-01-01 00:00:00,Clear,12.5,0,0,24.8,55,0.0,1013.2,0,0,28.5,0,0,10.0,180,S,15.5,26.2,12.0
2024-01-01 01:00:00,Clear,12.3,0,0,24.5,54,0.0,1013.4,0,0,28.2,0,0,10.2,185,S,14.8,25.9,11.5
2024-01-01 02:00:00,Clear,12.1,0,0,24.2,53,0.0,1013.6,0,0,27.9,0,0,10.4,190,S,14.2,25.6,11.0
2024-01-01 03:00:00,Clear,11.9,0,0,23.9,52,0.0,1013.8,0,0,27.6,0,0,10.6,195,SSW,13.5,25.3,10.5
2024-01-01 04:00:00,Clear,11.7,0,0,23.6,51,0.0,1014.0,0,0,27.3,0,0,10.8,200,SSW,12.8,25.0,10.0
2024-01-01 05:00:00,Clear,11.5,0,0,23.3,50,0.0,1014.2,0,0,27.0,0,0,11.0,205,SSW,12.1,24.7,9.5
2024-01-01 06:00:00,Partly Cloudy,11.3,0,0,23.0,49,0.0,1014.4,0,0,26.7,0,0,11.2,210,SSW,11.4,24.4,9.0
2024-01-01 07:00:00,Partly Cloudy,12.0,0,0,24.5,52,0.0,1014.6,0,0,27.8,0,0,11.4,215,SW,12.0,26.0,10.2
2024-01-01 08:00:00,Partly Cloudy,12.8,0,0,26.2,55,0.0,1014.8,0,0,29.0,0,0,11.6,220,SW,12.8,27.8,10.8
2024-01-01 09:00:00,Sunny,13.5,0,0,27.8,58,0.0,1015.0,0,0,30.2,0,0,11.8,225,SW,13.6,29.5,11.5
2024-01-01 10:00:00,Sunny,14.2,0,0,29.5,61,0.0,1015.2,0,0,31.5,0,0,12.0,230,SW,14.5,31.2,12.2
2024-01-01 11:00:00,Sunny,15.0,0,0,31.2,64,0.0,1015.4,0,0,32.8,0,0,12.2,235,SW,15.3,32.8,13.0
2024-01-01 12:00:00,Sunny,15.8,0,0,33.0,67,0.0,1015.6,0,0,34.2,0,0,12.4,240,SW,16.2,34.5,13.8
2024-01-01 13:00:00,Sunny,16.5,0,0,34.8,70,0.0,1015.8,0,0,35.5,0,0,12.6,245,WSW,17.0,35.9,14.5
2024-01-01 14:00:00,Sunny,17.2,0,0,36.5,73,0.0,1016.0,0,0,36.8,0,0,12.8,250,WSW,17.9,37.2,15.2
2024-01-01 15:00:00,Partly Cloudy,17.9,0,0,37.2,75,0.0,1015.8,0,0,37.5,0,0,12.5,255,WSW,17.2,38.1,14.8
2024-01-01 16:00:00,Partly Cloudy,18.1,0,0,36.8,76,0.0,1015.6,0,0,37.2,0,0,12.2,260,W,16.5,37.8,14.2
2024-01-01 17:00:00,Cloudy,17.8,0,0,36.2,74,0.0,1015.4,0,0,36.8,0,0,11.9,265,W,15.8,37.5,13.5
2024-01-01 18:00:00,Cloudy,17.2,0,0,35.5,72,0.0,1015.2,0,0,36.2,0,0,11.6,270,W,15.0,36.8,12.8
2024-01-01 19:00:00,Cloudy,16.5,0,0,34.8,70,0.0,1015.0,0,0,35.5,0,0,11.3,275,W,14.2,36.0,12.0
2024-01-01 20:00:00,Overcast,15.8,0,0,34.2,68,0.0,1014.8,0,0,34.8,0,0,11.0,280,W,13.5,35.2,11.2
2024-01-01 21:00:00,Overcast,15.0,0,0,33.5,65,0.0,1014.6,0,0,34.0,0,0,10.7,285,WNW,12.8,34.5,10.5
2024-01-01 22:00:00,Overcast,14.2,0,0,32.8,62,0.0,1014.4,0,0,33.2,0,0,10.4,290,WNW,12.0,33.8,9.8
2024-01-01 23:00:00,Clear,13.5,0,0,31.2,59,0.0,1014.2,0,0,32.0,0,0,10.1,295,WNW,11.2,32.5,9.0
